#HydraHarp 400  Histogram Data			07/09/2021 04:48:03 PM
#channels per curve
65536
#display curve no.
0	1	2	3	4	5	6	7	
#memory block no.
0	4	8	12	16	20	24	28	
#ns/bin
0.0040	0.0040	0.0040	0.0040	0.1280	0.1280	0.1280	0.1280	
#counts
1	8	0	0	18	12	13	15	
10	30	0	0	38	33	46	38	
15	76	0	0	46	29	46	39	
29	129	1	0	11	12	13	13	
74	241	0	1	18	5	19	14	
140	443	0	0	13	8	14	13	
292	910	0	0	7	9	8	12	
523	1508	0	0	5	3	4	6	
1011	2513	0	0	0	0	4	5	
1929	4482	0	0	3	0	2	2	
3357	7536	0	0	2	0	1	0	
5624	11952	0	0	2	0	0	2	
9254	17963	0	0	1	0	1	0	
13460	24631	0	0	0	1	1	1	
18252	31392	0	0	0	1	2	1	
21661	35901	1	0	2	1	2	2	
23974	37829	0	0	2	10	3	8	
24216	36812	0	0	2	3	5	5	
23033	34005	1	0	3	0	2	0	
21954	33134	1	0	1	0	2	3	
24735	39893	0	0	2	1	0	1	
37240	61505	0	0	2	1	1	1	
65102	105203	0	0	1	2	2	2	
117596	180792	0	0	0	0	2	5	
199738	288567	0	0	1	0	2	1	
312091	419682	0	0	1	0	0	3	
442620	553467	0	0	0	0	1	2	
568375	660815	0	0	0	0	0	1	
660079	718433	0	0	0	0	0	2	
695041	705867	0	1	1	0	0	0	
667050	631375	0	0	0	0	0	0	
580230	513711	0	0	0	0	0	0	
459712	381272	1	1	0	1	0	0	
332813	257469	1	0	0	0	0	0	
218316	158818	0	0	0	0	0	0	
131932	91836	0	0	0	0	0	0	
73268	49169	0	0	0	0	0	0	
38074	25280	0	0	0	0	0	0	
19046	12456	1	0	0	0	0	0	
9082	6439	0	0	0	0	0	0	
4364	3452	1	0	0	0	1	0	
2383	1976	0	0	0	0	0	0	
1344	1198	0	0	0	0	0	1	
799	724	0	0	1	0	0	1	
519	525	0	0	0	0	0	2	
373	424	0	1	0	0	0	4	
300	319	0	0	0	0	3	1	
236	220	0	0	0	0	1	0	
199	202	0	0	0	1	0	4	
144	170	1	0	3	2	1	1	
137	169	0	0	1	1	3	2	
129	137	0	0	4	1	2	1	
114	101	0	0	2	0	0	4	
86	101	0	0	4	4	4	4	
98	91	0	0	5	7	6	9	
66	80	0	0	3	2	1	3	
63	91	0	0	1	1	4	3	
56	58	0	0	1	0	1	2	
48	56	1	0	0	0	1	1	
49	52	0	0	0	0	2	1	
42	51	0	0	2	0	0	3	
39	52	0	0	1	0	4	3	
23	44	0	0	1	1	2	3	
35	42	0	0	6	2	9	5	
31	35	0	0	12	6	13	10	
32	32	1	0	12	6	14	30	
34	40	0	0	13	12	14	17	
25	29	0	0	16	7	9	23	
21	20	0	0	42	32	29	43	
14	24	0	0	41	30	41	35	
22	22	0	0	20	19	17	27	
14	28	0	0	6	6	13	13	
17	17	0	0	8	1	7	11	
19	18	0	0	5	8	11	17	
12	16	0	0	15	17	19	16	
15	19	0	0	28	30	27	43	
16	33	0	0	62	54	73	97	
7	12	0	0	178	139	186	251	
12	21	0	0	392	342	393	457	
14	12	0	0	738	631	806	957	
12	18	0	0	1596	1443	1797	2046	
7	8	0	0	4348	3653	4408	4925	
17	17	0	0	10171	8595	10921	11405	
9	13	0	0	13312	10975	14055	14647	
7	10	0	0	6139	5100	6356	6823	
7	11	1	0	2405	1978	2435	2959	
6	8	0	0	973	822	1082	1275	
7	6	0	0	449	441	503	585	
6	15	0	0	230	204	238	314	
6	8	0	0	88	86	104	133	
0	8	0	0	46	40	43	65	
0	9	0	0	17	23	16	19	
5	3	0	0	13	14	12	17	
2	5	0	0	8	5	5	3	
1	8	0	0	4	8	5	13	
3	7	0	0	16	14	19	8	
1	7	0	0	33	33	33	21	
1	9	0	0	53	48	52	39	
2	6	0	0	23	12	17	17	
2	2	0	0	9	9	7	17	
